Site_No,Uniq_cd,Smplng_d,Connectivity_terrestrial,Connectivity_aquatic,Pond_Nb_500,area_pond,area_site,Distance_Water,Distance_Forest,Distance_Pond,overwarming,no2,population,employment,fish_PCR,Walls,tot_volume_filtered,Blue50_frac,Green50_frac,Grey50_frac,LowManagement50_frac,LowRandom50_frac,Blue500_frac,Green500_frac,Grey500_frac,LowManagement500_frac,LowRandom500_frac
1,Schan_1,25.04.2022,99.1665153,121.9507531,6,89.94137451,660.356293,258.6846905,288.0054916,258.6846905,113,232.6343658,45,34,FALSE,FALSE,2900,0.009160861,0.662834466,0.328004718,0.167259008,0.079774283,0.004386526,0.624888539,0.370724976,0.294691801,0.037758127
2,Semin_1,16.05.2022,98.663479,332.5612725,2,33.9323275,451.6862705,49.61193377,437.5337635,331.6206782,120.6795861,259.91903,78,34,FALSE,FALSE,150,0.004037053,0.528341949,0.467620969,0.31518659,0,0.000139481,0.40850386,0.591356695,0.070377417,0.022331182
3,Hofwi_1,25.04.2022,98.81087688,33.51569788,10,822.94221,271.6230437,2.383037003,26.31979229,2.383037003,111,191.1219476,255,7,FALSE,TRUE,3000,0.087928154,0.368484557,0.543587327,0.083977386,0.117467731,0.002146493,0.644511878,0.353341609,0.342500746,0.036543317
4,Irchel_1,25.04.2022,98.89452474,102.6928316,13,1203.29869,1341.248251,4.027242559,311.8197255,4.027242559,112.1481627,197.6578835,0,0,TRUE,FALSE,1950,0.095568188,0.598255873,0.306175977,0.590554297,0.007701524,0.018446375,0.537038922,0.444514692,0.29327181,0.038969569
5,Birme_1,27.04.2022,99.16775273,96.03231829,10,80.283662,677.1826475,3.732334179,138.9689224,173.5921969,118.9026153,276.7105445,62,26,FALSE,FALSE,2600,0.027373144,0.440759063,0.531867743,0.091379076,0.028340787,0.003936573,0.664327323,0.331736118,0.357038826,0.014533948
6,Flurs_1,27.04.2022,98.42598136,313.4826069,4,77.65442549,41.41701034,35.48651716,588.421759,227.0057731,120,278.7444243,93,223,TRUE,FALSE,3000,0.019982589,0.444418252,0.535599172,0.084744394,0.006418479,0.001940839,0.488455087,0.509604096,0.045305464,0.043509088
7,FH_Eich_1,27.04.2022,99.52819584,29.03130785,13,485.235845,128.3726781,62.47937846,65.3609909,64.37851819,111,216.971129,0,0,FALSE,FALSE,2050,0.028722471,0.746154308,0.225123286,0.373060614,0.117567942,0.004158186,0.852787077,0.143054754,0.610538304,0.05008762
8,Glätt_1,27.04.2022,98.77362384,84.76718957,12,20.581273,74.5738097,75.94195391,698.2770773,79.81380198,122.6475905,280.2204524,99,94,TRUE,FALSE,2300,0.002272699,0.467480421,0.530246854,0.002725508,0.000111904,0.001465967,0.488229185,0.510304809,0.065853268,0.023668325
9,Botan_1,02.05.2022,98.89575881,75.92494151,13,721.683358,386.9062213,35.18586769,11.27739299,35.18586769,117,180.5444912,0,240,TRUE,FALSE,3000,0.048236378,0.879968166,0.071795523,0.856738865,0,0.009209262,0.512138665,0.47865203,0.229723692,0.092178188
10,Riesb_1,02.05.2022,97.76335714,112.6706544,7,38.059144,1824.854879,83.96015148,394.0819475,83.96015148,125.3629098,282.1827065,44,131,FALSE,FALSE,600,0.004341355,0.667455196,0.328203499,0.076519735,0,0.003768327,0.323522955,0.67270875,0.090248697,0.022000367
11,Enzen_1,02.05.2022,98.73640952,79.2423078,9,159.201136,340.487478,75.52953251,411.1856542,75.52953251,115,209.1045054,0,0,TRUE,FALSE,1550,0.015412173,0.785119891,0.199467957,0.341880471,0,0.004920555,0.531024814,0.464054614,0.094752349,0.053221177
12,Klus_P_1,02.05.2022,98.65176055,359.9474865,3,102.12119,13523.02777,307.3803007,357.076945,338.919429,121,269.8366796,79,18,TRUE,FALSE,3000,0.009704774,0.466627181,0.52366811,0.292964578,0,0.000316384,0.48832044,0.511363208,0.10134533,0.030312009
13,Allme_1,04.05.2022,99.30098369,183.3819948,5,429.4446175,199.5217188,41.92494819,175.9372666,221.4568694,124.3757789,273.4523239,0,631,FALSE,FALSE,2850,0.064948946,0.314707249,0.620343864,0.237119898,0.17726481,0.037087291,0.626797557,0.336115152,0.449141502,0.073304422
14,SKB_Ma_1,04.05.2022,98.81178959,74.97048915,5,62.954906,599.7875169,358.4487458,295.4306212,358.4487458,123.2377706,309.3299183,22,325,TRUE,FALSE,1950,0.006590592,0.340606809,0.652802646,0,0.001778414,0.004580707,0.556936502,0.438482821,0.207868367,0.0764983
15,Belvo_1,04.05.2022,98.49517205,56.72169271,8,1434.021699,4507.790748,2.372936906,682.9320131,2.372936906,121,212.1324883,0,0,TRUE,FALSE,150,0.09683051,0.54683727,0.356332183,0.016315633,0.062050089,0.31159988,0.370872289,0.317527831,0.113053493,0.040874965
16,Hagen_1,06.05.2022,98.8868533,385.7784338,2,199.835549,312.197874,248.382753,533.1577889,385.1899648,119.2392492,289.7574821,0,523,TRUE,FALSE,2100,0.018480828,0.375264615,0.606254518,0.225058988,0.004766774,0.011752106,0.388983041,0.59926486,0.116300106,0.013901958
17,Oscar_1,06.05.2022,98.17783422,183.5438121,6,151.902669,90.42551289,44.90990502,20.88886031,187.3834781,122.6311797,230.6042846,0,0,FALSE,FALSE,2100,0.015350866,0.378340334,0.606308818,0.338920325,0,0.001427142,0.34544906,0.653123796,0.086850509,0.011943848
18,Etten_1,06.05.2022,98.87326909,23.4069202,33,64.16259,93.2551745,7.949655513,104.1359422,163.6110662,117.1542823,199.34128,164,4,FALSE,FALSE,1500,0.038361624,0.856392622,0.105245709,0.677745581,0,0.004442125,0.467152864,0.528405011,0.151917383,0.0318974
19,Sport_1,06.05.2022,98.97757195,337.2522579,3,244.3381815,887.5056065,16.54934373,665.8465862,321.4535032,112.6845196,199.6455254,0,0,FALSE,FALSE,1650,0.023678342,0.816402376,0.159919277,0.468314648,0.054919351,0.000660754,0.592310131,0.407029092,0.133071765,0.016247369
20,Hohe_P_1,09.05.2022,98.23970111,61.46642282,6,56.530462,461.2584485,23.22620542,1038.723618,23.22620542,129.8848663,286.0262858,0,34,FALSE,TRUE,1500,0.007338703,0.569414258,0.42324701,0.320121348,0.013037462,0.086014487,0.260542601,0.65344286,0.088228099,0.018815229
21,China_1,09.05.2022,97.22230087,202.4772998,5,798.8791985,894.8340588,1.58902123,704.9363485,107.9931919,121,225.6215786,4,0,TRUE,FALSE,1500,0.056668717,0.569464624,0.373866618,0.009612061,0.003735703,0.41126287,0.216206297,0.372530878,0.024327537,0.018300664
22,Stran_1,09.05.2022,97.9093179,258.9841226,4,158.526919,205.8584793,27.53621281,646.0780591,353.0404241,125.9228684,250.3442112,134,65,FALSE,FALSE,2600,0.127806813,0.510809183,0.361384034,0.044901747,0.056985099,0.394074142,0.247415021,0.358510792,0.070336811,0.015441015
23,Uni_Zen_1,09.05.2022,97.27576872,218.1102555,4,115.460125,84.18051561,26.37973623,1121.72616,26.37973623,132.0244745,440.2278362,0,3,TRUE,TRUE,3000,0.021617014,0.299319625,0.67906338,0.083760969,0.012783278,0.048875101,0.225882217,0.725242734,0.047663368,0.022605052
24,Limma_1,11.05.2022,99.12628195,127.6333991,12,36.446353,84.4639176,38.0498159,32.35838825,280.9440546,118,270.7805663,279,16,TRUE,FALSE,300,0.007731191,0.47598061,0.516288161,0.156714112,0.107492365,0.091913112,0.582025111,0.326061755,0.212783948,0.034683198
25,Hohen_1,11.05.2022,98.74977323,441.8253324,4,5.720772,353.203203,0.37734774,460.5453917,0.37734774,121,253.7101729,58,1,FALSE,FALSE,2750,0.001899532,0.604318917,0.393781483,0,0.012021475,0.082932159,0.500292838,0.416775018,0.108783506,0.050729416
26,ETH_Ho_1,11.05.2022,99.18788333,52.69389074,6,486.943282,72.0345409,194.599597,217.4479221,194.5999628,117.4344878,275.8920555,0,16,FALSE,FALSE,2900,0.040180545,0.519315481,0.440503955,0.031831566,0.00092516,0.008260529,0.680525124,0.311214268,0.416238546,0.026569635
27,FH_Sihl_1,11.05.2022,97.83808537,128.3729122,5,88.444755,946.368173,2.506009109,1406.571336,2.506721747,123.7799626,276.0200191,33,6,FALSE,FALSE,1750,0.010591517,0.57845974,0.410948724,0.071725659,0.01324863,0.000297833,0.399828762,0.599873424,0.065503359,0.078193724
28,Stadt_1,13.05.2022,98.49878406,267.3139066,5,61.667664,2703.534868,253.5734428,1170.498794,374.1352386,123,306.9409788,4,0,TRUE,FALSE,3000,0.005583281,0.455688149,0.538728535,0.016082373,0.207582265,0.001462672,0.51794368,0.480593652,0.056488432,0.076467112
29,Freib_1,13.05.2022,98.16546947,236.0187254,7,46.003242,587.5511956,132.7625297,1453.061297,151.8479256,123.4526292,243.730184,52,4,FALSE,FALSE,2850,0.005209302,0.704527855,0.290262848,0.030752143,0.468307704,0.001183676,0.401649237,0.597167075,0.045000415,0.059927773
30,Schre_1,13.05.2022,97.91693804,500,1,78.3331795,672.4229818,516.7152911,692.2171725,516.7152911,128,317.572751,6,128,FALSE,FALSE,2850,0.008179786,0.351784229,0.640036047,0.069478057,0.023704328,9.74E-05,0.333470732,0.666431844,0.053511139,0.027737631
31,FH_Sch_1,16.05.2022,99.23876298,137.2107752,7,43.839311,840.50533,39.93325444,263.0839197,39.93325444,111,188.1323056,0,0,FALSE,FALSE,1450,0.005277816,0.815396488,0.179325685,0.268875629,0.546520889,0.00431645,0.727194786,0.268488765,0.36241588,0.109609276
32,Probs_1,16.05.2022,99.26952857,131.9108872,4,70.8811605,77.689507,164.6491257,322.7282172,300.4523189,116,264.6824472,49,0,TRUE,FALSE,500,0.015604192,0.615397036,0.368998796,0.046639487,0,0.0021376,0.768146515,0.229715839,0.352266192,0.017947512
33,Im_Alt_1,16.05.2022,98.74679041,313.1100423,5,510.9772865,3184.939376,11.44498241,324.3729198,225.078543,117.979157,238.0017606,0,0,FALSE,FALSE,1750,0.04794763,0.662600517,0.289451897,0.211011946,0.003470863,0.011193582,0.574114501,0.414691865,0.096842416,0.020140553
34,FH_Nor_1,18.05.2022,98.99859876,19.21168097,7,279.2635815,392.2483379,10.9714875,254.6513284,10.9714875,110,187.5932405,0,0,TRUE,FALSE,3000,0.023028729,0.765685797,0.211285487,0.187223122,0.539316118,0.000708917,0.665299356,0.333991647,0.238416165,0.10968852
35,Jonas_1,18.05.2022,98.77820971,127.9494505,4,86.93633799,4087.26029,52.98501316,328.026216,52.98501316,116,221.0661502,110,7,TRUE,FALSE,1800,0.008674392,0.789581418,0.201744229,0.561022997,0.124283262,0.001165003,0.566630006,0.432204992,0.141598254,0.025757231
36,Seeba_1,18.05.2022,99.19871696,188.6489622,3,56.911808,4879.522506,341.7889315,25.57279926,341.7889315,114,247.7889113,0,111,TRUE,FALSE,450,0.005981075,0.526243627,0.467775285,0.222494006,0.044665556,0.000276684,0.71946156,0.280261815,0.359214783,0.018752964
37,Trams_1,18.05.2022,98.36583514,177.0878147,4,12.6568025,826.960346,40.27783317,451.6068657,40.27783317,120,284.2122705,154,6,FALSE,FALSE,650,0.002695139,0.557381094,0.439923793,0.191326618,0,0.000391536,0.424788088,0.57482034,0.042340551,0.013111604
38,Regin_1,20.05.2022,98.238814,135.8882891,8,218.942916,132.8784885,171.5112457,439.3876145,171.5112457,119,302.2696637,242,838,FALSE,FALSE,2200,0.019089907,0.456443757,0.524466336,0.042363904,0.227332756,0.002821264,0.404377818,0.592800915,0.071085967,0.035436843
39,Riedh_1,20.05.2022,99.17297075,288.6167874,4,54.55430451,178.132385,247.4790092,238.1314285,460.4531572,115.0387552,277.3365775,148,100,TRUE,FALSE,3000,0.005993124,0.522132218,0.471874684,0.196537361,0.03273537,0.001525193,0.72101742,0.277457386,0.297184438,0.053615622
40,Gesta_1,20.05.2022,97.2789557,500,1,125.113624,143.0423557,72.40290453,744.0478873,556.7997821,135,346.8983647,16,107,TRUE,FALSE,2900,0.011522368,0.311955541,0.676522136,0.030543419,0.053761519,0.109438866,0.206431776,0.684129357,0.081643566,0.043620221
41,Alt_Bot_1,20.05.2022,96.67128349,98.61541462,2,74.8860265,407.7340884,24.06294092,1037.375325,98.39816316,132.1666833,290.8128591,0,0,FALSE,FALSE,2900,0.138054371,0.350038826,0.511906803,0.149474636,0.097112685,0.057087164,0.140752435,0.802160382,0.042700004,0.034269761
42,Binz_1,23.05.2022,98.76483147,15.17493776,15,1686.261736,51.54414808,53.88570803,297.108563,57.06392906,121,211.8030824,0,0,TRUE,FALSE,1100,0.079252988,0.619834661,0.30091238,0.491366506,0.330938667,0.006642621,0.464966238,0.528391182,0.121101074,0.059447072
43,Bruna_1,23.05.2022,98.82142821,85.84710696,11,1692.71812,104.6174874,36.88399428,75.92030611,36.88399428,122.8570344,216.8670971,22,2,TRUE,FALSE,1750,0.099977367,0.667933702,0.232088894,0.372889876,0.004013052,0.003062809,0.554184377,0.442752838,0.263399184,0.025795061
44,Stein_1,23.05.2022,98.71160345,4.901268764,6,92.93040151,556.9042146,1.885295901,325.9392743,1.885295901,125,274.5416489,0,0,FALSE,FALSE,2800,0.020211311,0.42768681,0.55210191,0.152053714,0.049090099,0.04039843,0.401661873,0.557939708,0.12088982,0.045935102
45,Tüffe_1,23.05.2022,98.74457492,57.96597268,12,30.92542,118.313966,14.51269748,29.68078899,14.51269748,119,209.1842185,0,0,FALSE,FALSE,1350,0.061717838,0.853520036,0.084762119,0.20735915,0,0.101993866,0.41875568,0.479250401,0.150523394,0.00915019
46,Überl_1,23.05.2022,98.65470643,28.45934988,4,150.8165765,250.5315843,14.91159465,801.7556553,298.9927613,116.1139003,238.8849184,77,15,FALSE,FALSE,2800,0.089511171,0.522515059,0.387973726,0.255330473,0.022839494,0.018938439,0.523445666,0.457615972,0.141016081,0.023270752
47,Waid_1,25.05.2022,98.82740823,174.8171112,8,50.7436195,661.8712155,80.31847195,243.799488,192.764124,113.6203735,233.7639382,0,0,TRUE,FALSE,450,0.005239524,0.635569215,0.359191298,0.462782562,0.002994014,0.00113184,0.665371776,0.333496392,0.353528529,0.009504936
48,Im_Syd_1,25.05.2022,98.79022405,73.88391067,15,38.4612975,1864.627933,182.5001552,584.5004299,272.2805847,123,304.5915707,156,56,TRUE,TRUE,3000,0.004279515,0.396443963,0.599276543,0.160747796,0.027501963,0.062766388,0.426554978,0.510678589,0.104599766,0.008236852
49,Hardt_1,25.05.2022,98.58834733,64.54661759,10,73.62493069,411.3662635,18.26886901,690.3965964,52.75351242,130.5999666,296.3287987,47,3,TRUE,TRUE,3000,0.218718708,0.230161786,0.551119506,0.013345815,0,0.070728071,0.357988864,0.571283042,0.057436876,0.010682749
50,Tobel_1,25.05.2022,98.9149169,500,1,17.185788,6551.478681,15.30751613,800.6462681,545.446626,122,267.9226174,119,10,FALSE,FALSE,2900,0.284471124,0.371316612,0.344212264,0.083272107,0,0.071424454,0.553566337,0.375009209,0.121502452,0.032423183
51,Margr_1,27.05.2022,98.47147252,77.86487375,8,272.4155785,494.1927142,103.7320677,101.5381671,103.7320677,120.271417,323.3230448,145,3,FALSE,FALSE,2500,0.024259754,0.525755703,0.44998458,0.118249014,0.207678765,0.002930186,0.41261211,0.584457636,0.099432409,0.05080324
52,Susen_1,27.05.2022,99.165804,96.03194563,11,27.47217693,674.3280618,33.33980845,145.2401601,176.7737536,108,256.2266465,19,0,TRUE,FALSE,1550,0.011820419,0.605979562,0.382199973,0.080405638,0,0.004714037,0.711081266,0.284204721,0.38885498,0.012073291
53,Pesta_1,27.05.2022,98.59411628,175.3860301,10,66.20074,2128.03803,293.7777242,669.118428,293.7777242,123,314.2769387,74,110,FALSE,FALSE,2150,0.005768395,0.58569032,0.408541292,0.017021177,0.313790172,0.001497018,0.428758085,0.569744945,0.1173269,0.025500309
54,Rämis_1,27.05.2022,98.23339478,132.46579,8,112.86676,360.1582878,83.18193392,729.1536651,83.18193392,127,336.9843613,87,566,TRUE,FALSE,1200,0.010773446,0.45216915,0.5370574,0.283538312,0,0.000841014,0.369465917,0.629693151,0.11611712,0.020613516
